,T1,T2,C3,C4
151132,0.06248109308738876,0.04748906569046761,0.05008894456260676,0.061275467824347805
151133,0.1681593497833732,0.149970542661714,0.1288299386509666,0.1480140608018577
151135,0.11738827045037108,0.11358320735428329,0.12987331827870827,0.11758772096191575
151136,0.1486421630208352,0.15598763014098843,0.12966455626895818,0.15165133711659473
151139,0.17173007225642598,0.2094704866930216,0.16665871571187402,0.14458792078990845
151140,0.2923016090194006,0.2672820826965838,0.21384011191835844,0.21025913819754533
151141,0.772334933041162,0.863140287131804,0.7022544393380296,0.6594976053696547
151142,0.5925178210281902,0.5288493302788086,0.43653425817496117,0.40722576162344465
151143,0.13058779038948598,0.09824313142119569,0.1075363951684633,0.11891308313654085
151144,0.15299444027958703,0.14040286854131248,0.07996170124754817,0.1100577803752216
151148,0.23170931655504962,0.1861914443549583,0.1823838675914921,0.20138125370545218
151149,0.09488921581875645,0.1487934046068812,0.06994307094350237,0.051031219588139574
151150,0.21288793198719907,0.16433765374182113,0.13637790393186794,0.14049766955773563
151151,0.12400963700819098,0.139750681110277,0.06928621311217271,0.08242612254471868
151160,0.10783970623816512,0.08159374288930718,0.1069042247046248,0.08747558800555373
151164,0.21204358029146889,0.2416134811168343,0.15351071453486037,0.1799128986463512
151167,0.25347601139262593,0.22991090622725657,0.06819086765950413,0.06607064268110403
151168,0.14677376261791053,0.13025719771936933,0.10917376017384367,0.12716136992356314
151170,0.1026776073657785,0.06044799765466218,0.028275860716385562,0.014817182417494471
151177,0.2492406911844514,0.29440130200412984,0.14315942830484296,0.15683098479319663
151178,0.28621738927315954,0.23649487879872833,0.19379347157105586,0.20072857642713676
151186,0.23639770476489314,0.1908214594256557,0.20047095908214735,0.17598902359565527
151187,0.09793799940494405,0.07699217543540243,0.08987209014688548,0.09988389994162794
151188,0.5310348369906026,0.47037857882916184,0.34909538547513674,0.35078948086876993
151190,0.5241780297092354,0.5296903393560501,0.34498143054887254,0.3772644254530987
151191,0.1954971920460742,0.18002232884496208,0.14661687300108775,0.12848706075599797
